PM2.5 AQI Value,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
64,Moderate,4.4,11.7,-1.7,1027.7,68,0,16.1,7.2,16.5,-,,,,
51,Moderate,7.3,11.7,-1.7,1014.8,71,0,15.8,3.1,7.6,-,o,,,
25,Good,1.2,8.9,-4.4,1016.4,69,13.97,12.6,32.4,51.9,68.3,o,o,,
31,Good,,,,,,,,,,,,,,
22,Good,,,,,,,,,,,,,,
15,Good,,,,,,,,,,,o,,,
17,Good,-5.9,2.8,-10,1024.1,37,3.05,16.1,25.7,37,55.4,,,,
43,Good,-4.7,2.8,-10.6,1034.3,46,0,16.1,7.6,13,-,,,,
56,Moderate,1.3,7.8,-10.6,1035,56,0,16.1,6.9,16.5,-,,,,
60,Moderate,,,,,,,,,,,o,,,
9,Good,,,,,,,,,,,o,,o,
27,Good,,,,,,,,,,,o,,,
19,Good,9.2,16.1,1.1,1020.5,57,0,16.1,12.2,27.8,44.6,,,,
22,Good,13.2,16.1,1.1,1012.7,81,0.51,12.9,13.9,35.2,48.2,o,,,
28,Good,6.3,16.1,0.6,1013.6,91,10.67,7.9,4.1,13,-,,,,o
53,Moderate,,,,,,,,,,,,,,o
30,Good,,,,,,,,,,,,,,
23,Good,,,,,,,,,,,o,,,
25,Good,2.9,10.6,-3.9,1014.1,46,0,16.1,16.7,31.7,38.9,,,,
30,Good,8.5,18.3,-3.9,1009.5,42,0,16.1,19.3,35.2,48.2,,,,
31,Good,7.9,18.3,1.7,1006.6,67,0,15.4,22,38.9,50,o,o,,
37,Good,,,,,,,,,,,o,o,,o
52,Moderate,,,,,,,,,,,,,,
45,Good,,,,,,,,,,,,,,
34,Good,-3.7,2.8,-9.4,1015.2,42,0,16.1,23.2,40.7,50,,,,
18,Good,2.2,7.2,-8.3,1011,42,0,16.1,18.7,33.5,48.2,,,,
34,Good,8.7,16.7,4.4,1010.3,51,0,16.1,22.4,40.7,51.9,,,,
24,Good,,,,,,,,,,,,o,,
53,Moderate,,,,,,,,,,,,o,,o
82,Moderate,,,,,,,,,,,,,,o
56,Moderate,1.4,6.7,-5.6,1022.5,67,0,16.1,9.1,16.5,-,o,,,
62,Moderate,1.1,10,-6.7,1023.6,82,0,11.1,3.3,11.1,-,o,,,o
